//,This is the master copy of the downlink structures.  A program called FoxStruct.py will turn this into a structure for the flight software.,,,,,,,,,,,,,,,,
//,A different Python script can also be used to make tables for FoxTelem. My intent is that this spreadsheet can also be included,,,,,,,,,,,,,,,,
//,into a formal document defining the downlink more completely.,,,,,,,,,,,,,,,,
//,The format must be as follows: 1) A comment (// in column A) can appear anywhere.  2) A structure must start with a column A that has,,,,,,,,,,,,,,,,
//,"“Structure:name,file:filename”.  The structure must end with “END”. For flight software, the yellow highlighted columns are used.",,,,,,,,,,,,,,,,
Version: 2.1,,,,,,,,,,,,,,,,,
"Structure: header_t, file:headerDownlink.h",,,,,,,,,,,,,,,,,
//,Field Name,Code Name,Size (Bits),Type,C Type,Conversion,Label,Description,Bit Offset,Byte Offset,Short Offset,Long offset,Module,Module_num,Module_Line,Line_Type,
,Auto Safe Mode,AutoSafeModeActive,1,Unsigned,,21,-,In Autosafe mode?,570,71.25,35.625,17.8125,Computer,2,13,0,
,Auto Safe Allowed,AutoSafeModeAllowed,1,Unsigned,,21,-,Autosafe enabled?,571,71.375,35.6875,17.84375,Computer,2,14,0,
,NONE,pad1,20,Unused,,0,-,Make it even,572,71.5,35.75,17.875,NONE,0,0,0,
,NONE,pad2,32,Unused,,0,-,,592,74,37,18.5,NONE,0,0,0,
END,,,,,,,,Total Length,624,78,39,19.5,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Structure: minSpecific_t, file: minDownlink.h",,,,,,,,,,,,,,,,,
,Soft Error,IHUsoftError,32,Unsigned,DownlinkSoftError,18,-,Diagnostic Data on IHU Performance,496,62,31,15.5,Computer,2,11,0,
,NONE,minTimestampReset,16,Unsigned,,1,s,Timestamp Resets,528,66,33,16.5,NONE,0,0,0,
,NONE,minTimestampUptime,25,Unsigned,,1,s,Timestamp uptime,544,68,34,17,NONE,0,0,0,
,NONE,SafeModeActive,1,Unsigned,,21,-,In safe mode?,569,71.125,35.5625,17.78125,NONE,0,0,0,
,NONE,AutoSafeModeActive,1,Unsigned,,21,-,In Autosafe mode?,570,71.25,35.625,17.8125,NONE,0,0,0,
,NONE,AutoSafeModeAllowed,1,Unsigned,,21,-,Autosafe enabled?,571,71.375,35.6875,17.84375,NONE,0,0,0,
,NONE,pad1,20,Unused,,0,-,Make it even,572,71.5,35.75,17.875,NONE,0,0,0,
,NONE,pad2,32,Unused,,0,-,Make it even,592,74,37,18.5,NONE,0,0,0,
END,,,,,,,,Total Length,624,78,39,19.5,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Structure:radiation_t, file:radDownlink.h",,,,,,,,,,,,,,,,,
//,Field Name,Code Name,Size (Bits),Type,C Type,Conversion,Label,Description,Bit Offset,Byte Offset,Short Offset,Long offset,,,,,
,NONE,data,464,Unsigned,uint8_t,0,-,0x01 specifies Fox-1A (each Fox satellite will have a unique ID),0,0,0,0,NONE,0,0,0,
,NONE,pad1,112,,,0,-,Room for option more data,464,58,29,14.5,NONE,0,0,0,
,WOD Timestamp Reset Count,WODTimestampReset,16,Unsigned,,1,-,Time Whole Orbit Data was collected  (WOD only),576,72,36,18,NONE,0,0,0,
,MAX Timestamp Uptime,WODTimestampUptime,25,Unsigned,,1,s,Time Whole Orbit Data was collected (WOD only),592,74,37,18.5,NONE,0,0,0,
,CRC Error on this WOD entry,WodCRCError,1,Unsigned,,0,-,Memory error (WOD only),617,77.125,38.5625,19.28125,NONE,0,0,0,
,Pad1,pad2,6,,,,-,Make it even,618,77.25,38.625,19.3125,NONE,0,0,0,
,Pad2,pad3,0,Unsigned,,0,-,Make it even,624,78,39,19.5,NONE,0,0,0,
END,,,,,,,,,624,78,39,19.5,,,,,
,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,
"Structure:wodSpecific_t,file:wodSpecificDownlink.h",,,,,,,,,,,,,,,,,
,IHU Hard Error Data,IHUhardError,32,Unsigned,DownlinkError_t,18,-,Reason for last reset,496,62,31,15.5,NONE,0,0,0,
,Diagnostic Data,IHUdiagData,32,Unsigned,DownlinkIHUInfo,0,-,Diagnostic Data on IHU Performance,528,66,33,16.5,NONE,0,0,0,
,WOD Timestamp Reset Count,WODTimestampReset,16,Unsigned,,1,-,Time Whole Orbit Data was collected,560,70,35,17.5,NONE,0,0,0,
,MAX Timestamp Uptime,WODTimestampUptime,25,Unsigned,,1,s,Time Whole Orbit Data was collected,576,72,36,18,NONE,0,0,0,
,Safe Mode Indication,SafeModeActive,1,Unsigned,,21,-,Are we in safe mode?,601,75.125,37.5625,18.78125,NONE,0,0,0,
,Safe Mode Indication,AutoSafeModeActive,1,Unsigned,,21,-,Are we in safe mode?,602,75.25,37.625,18.8125,NONE,0,0,0,
,Experiment 1 Fail,expFailure0,1,Unsigned,,17,-,Experiment 1 Failure Indicator,603,75.375,37.6875,18.84375,NONE,0,0,0,
,Experiment 2 Fail,expFailure1,1,Unsigned,,17,-,Experiment 2 Failure Indicator,604,75.5,37.75,18.875,NONE,0,0,0,
,Experiment 3 Fail,expFailure2,1,Unsigned,,17,-,Experiment 3 Failure Indicator,605,75.625,37.8125,18.90625,NONE,0,0,0,
,Experiment 4 Fail,expFailure3,1,Unsigned,,17,-,Experiment 4 Failure Indicator,606,75.75,37.875,18.9375,NONE,0,0,0,
,Battery I2C Failure,I2CfailureBatt,1,Unsigned,,17,-,Battery I2C Bus failure indicator,607,75.875,37.9375,18.96875,NONE,0,0,0,
,PSU1 I2C Failure,I2CfailurePSU1,1,Unsigned,,17,-,PSU2 I2C Bus failure indicator,608,76,38,19,NONE,0,0,0,
,PSU2 I2C Failure,I2CfailurePSU2,1,Unsigned,,17,-,PSU2 I2C Bus failure indicator,609,76.125,38.0625,19.03125,NONE,0,0,0,
,RF I2C Failure,I2CfailureRF,1,Unsigned,,17,-,RF I2C Bus failure indicator,610,76.25,38.125,19.0625,NONE,0,0,0,
,CRC Error,WodCRCError,1,,,0,-,CRC Error on this WOD entry,611,76.375,38.1875,19.09375,NONE,0,0,0,
,VGA_CNTL,vgaCntl,12,Unsigned,,23,V,Variable Gain Amp Ctl Voltage,612,76.5,38.25,19.125,NONE,0,0,0,
END,,,,,,,,Totals:,624,78,39,19.5,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
