//,This is the master copy of the downlink structures.  A program called FoxStruct.py will turn this into a structure for the flight software.,,,,,,,,,,,,,,,
//,A different Python script can also be used to make tables for FoxTelem. My intent is that this spreadsheet can also be included,,,,,,,,,,,,,,,
//,into a formal document defining the downlink more completely.,,,,,,,,,,,,,,,
//,The format must be as follows: 1) A comment (// in column A) can appear anywhere.  2) A structure must start with a column A that has,,,,,,,,,,,,,,,
//,"""Structure:name,file:filename"".  The structure must end with ""END"". For flight software, the yellow highlighted columns are used.",,,,,,,,,,,,,,,
Version: 6.7,,12/08/20,,,,,,,,,,,,,,
"Structure: header_t, file:headerDownlink.h",,,,,,,,,,,,,,,,
//,Field Name,Code Name,Size (Bits),Type,C Type,Conversion,Label,Description,Bit Offset,Byte Offset,Short Offset,Long offset,Module,Module_num,Module_Line,Line_Type
,Y Magnetometer,Ymag,8,Unsigned,,8_bit_mag,uT,Angular Veolcity around Y Axis,88,11,5.5,2.75,Experiments,5,8,3
,Z Magnetometer,Zmag,8,Unsigned,,8_bit_mag,uT,Angular Veolcity around Z Axis,96,12,6,3,Experiments,5,9,3
,RF1 Power,DCT1Power,8,uint8_t,,1,mW,Primary DCT RF Power,104,13,6.5,3.25,DCT,12,1,3
,RF2 Power,DCT2Power,8,uint8_t,,1,mW,Secondary DCT RF Power,112,14,7,3.5,DCT,12,3,3
,Primary RSSI,DCT1RSSI,8,Unsigned,,dct_rssi,dBm,DCT1 RSSI,120,15,7.5,3.75,DCT,12,5,3
,Secndry RSSI,DCT2RSSI,8,Unsigned,,dct_rssi,dBm,DCT2 RSSI,128,16,8,4,DCT,12,6,3
,Primary Reflected Power,DCT1RlftdPower,8,uint8_t,,1,mW,Primary DCT Reflected Power,136,17,8.5,4.25,DCT,12,2,3
,Deorbit temp,deorbitTemp,8,Unsigned,,8_bit_temp,,Deorbit Device Temp,144,18,9,4.5,Experiments,5,11,3
,Bus Voltage,busV,8,Unsigned,,golf-t_bus_voltage,V,Vbatt Bus voltage,152,19,9.5,4.75,Legacy IHU,2,6,3
,PA Current,TxPAi,8,Unsigned,,golf-t_tx_current,mA,Transmit power amplifier current,160,20,10,5,Legacy Radio,1,1,3
,TX Temperature,TxTemp,8,Unsigned,,8_bit_temp,C,Transmitter card temperature,168,21,10.5,5.25,Legacy Radio,1,2,3
,Fwd Power,FwdPower,8,Unsigned,,icr_8bit_volts|txv2_fwd_pwr|dBm_to_mW,mW,Receiver card temperature,176,22,11,5.5,Legacy Radio,1,3,3
,ICR RSSI,rssi,8,Unsigned,,icr_8bit_volts|icrv2_rssi,dBm,Received Signal Strength Indication,184,23,11.5,5.75,Command Receivers,4,1,3
,Minus Y Volts,MinusYVolts,8,Unsigned,,52,V,Left (-Y) deployable panel Voltage,192,24,12,6,Solar Panels,6,1,3
,Minus X Volts,MinusXVolts,8,Unsigned,,52,V,Anti-sun Fixed Panel Voltage,200,25,12.5,6.25,Solar Panels,6,2,3
,Plus X Volts,XVolts,8,Unsigned,,52,V,Sun-side Fixed Panel Voltage,208,26,13,6.5,Solar Panels,6,3,3
,Plus Y Volts,YVolts,8,Unsigned,,52,V,Right (+Y) Deployable Panel Voltage,216,27,13.5,6.75,Solar Panels,6,4,3
,Minus Y Temp,MinusYTemp,8,Unsigned,,52,C,Left (-Y) deployable panel Voltage,224,28,14,7,Solar Panels,6,5,3
,Minus X Temp,MinusXTemp,8,Unsigned,,52,C,Anti-sun Fixed Panel Voltage,232,29,14.5,7.25,Solar Panels,6,6,3
,Plus X Temp,XTemp,8,Unsigned,,52,C,Sun-side Fixed Panel Voltage,240,30,15,7.5,Solar Panels,6,7,3
,Plus Y Temp,YTemp,8,Unsigned,,52,C,Right (+Y) Deployable Panel Voltage,248,31,15.5,7.75,Solar Panels,6,8,3
,VGA Control,LtVGACtl,8,Unsigned,,icr_8bit_volts,V,Control Voltage to the Variable Gain Amplifier (VGA),256,32,16,8,Legacy Radio,1,5,3
,Primary Temp,RT1Temp,8,Unsigned,,8_bit_temp,C,Primary RT-IHU Board Temp,264,33,16.5,8.25,RT-IHU,7,1,3
,Secndry Temp,RT2Temp,8,Unsigned,,8_bit_temp,C,Secondary RT-IHU Board Temp,272,34,17,8.5,RT-IHU,7,2,3
,Temperature,IHUcpuTemp,8,Unsigned,,8_bit_temp,C,Internal Temperature of IHU,280,35,17.5,8.75,Legacy IHU,2,1,3
,Modulator Temp,moduTemp,8,Unsigned,,8_bit_temp,C,Internal Temperature of  the telemetry modulator,288,36,18,9,Legacy Radio,1,7,3
,CSS #1,CSS1,8,Unsigned,,ciu_8bit_volts,-,Coarse Sun Sensor Values,296,37,18.5,9.25,Sun Sensors,8,1,3
,CSS #2,CSS2,8,Unsigned,,ciu_8bit_volts,-,Coarse Sun Sensor Values,304,38,19,9.5,Sun Sensors,8,2,3
,CSS #3,CSS3,8,Unsigned,,ciu_8bit_volts,-,Coarse Sun Sensor Values,312,39,19.5,9.75,Sun Sensors,8,3,3
,CSS #4,CSS4,8,Unsigned,,ciu_8bit_volts,-,Coarse Sun Sensor Values,320,40,20,10,Sun Sensors,8,4,3
,CSS #5,CSS5,8,Unsigned,,ciu_8bit_volts,-,Coarse Sun Sensor Values,328,41,20.5,10.25,Sun Sensors,8,5,3
,CSS #6,CSS6,8,Unsigned,,ciu_8bit_volts,-,Coarse Sun Sensor Values,336,42,21,10.5,Sun Sensors,8,6,3
,CSS #7,CSS7,8,Unsigned,,ciu_8bit_volts,-,Coarse Sun Sensor Values,344,43,21.5,10.75,Sun Sensors,8,7,3
,CSS #8,CSS8,8,Unsigned,,ciu_8bit_volts,-,Coarse Sun Sensor Values,352,44,22,11,Sun Sensors,8,8,3
,CIU 3.3V #1,CIU3V3_1,8,Unsigned,,psoc_8bit_volts,V,3.3V Power for part 1 of CIU,360,45,22.5,11.25,CIU,9,1,3
,CIU 3.3V #2,CIU3V3_2,8,Unsigned,,psoc_8bit_volts,V,3.3V power for part 2 of CIU,368,46,23,11.5,CIU,9,2,3
,CIU 5.2V Vsys,CIUVsys,8,Unsigned,,psoc_8bit_volts,V,6V power on CIU aka Vsys,376,47,23.5,11.75,CIU,9,3,3
,CIU 12V Supply,CIU12v,8,Unsigned,,psoc_8bit_volts,V,12V Power From EPS,384,48,24,12,CIU,9,4,3
,SSPA Power,Power10GHz,8,Unsigned,,0,mW,Power output of the 10GHz SSPA,392,49,24.5,12.25,SDR Radio,11,1,3
,SDR Zynq Temp,ZynqTemp,8,Unsigned,,8_bit_temp,c,SDR Zynq temp,400,50,25,12.5,SDR Radio,11,2,3
,SDR Tranceiver Temp,SDRTcvrTemp,8,Unsigned,,8_bit_temp,c,SDR Tranceiver Temp,408,51,25.5,12.75,SDR Radio,11,3,3
,10GHz PA Current,Current10GHz,8,Unsigned,,golf-t_tx_current,mA,Transmit power amplifier current,416,52,26,13,SDR Radio,11,4,3
,Secondry Reflected Power,DCT2RlftdPower,8,uint8_t,,1,mW,Primary DCT Reflected Power,424,53,26.5,13.25,DCT,12,4,3
,SDR X Rotation,SDRXspin,8,Unsigned,,8_bit_spin,dps,Angular Velocity around X Axis,432,54,27,13.5,SDR Radio,11,5,3
,SDR Y Rotation,SDRYspin,8,Unsigned,,8_bit_spin,dps,Angular Veolcity around Y Axis,440,55,27.5,13.75,SDR Radio,11,6,3
,SDR Z Rotation,SDRZspin,8,Unsigned,,8_bit_spin,dps,Angular Veolcity around Z Axis,448,56,28,14,SDR Radio,11,7,3
,SDR X Acceleration,SDRXaccel,8,Unsigned,,8_bit_accel,g,Acceleration along X axis,456,57,28.5,14.25,SDR Radio,11,8,3
,SDR Z Acceleration,SDRZaccel,8,Unsigned,,8_bit_accel,g,Acceleration along Y  axis,464,58,29,14.5,SDR Radio,11,9,3
,SDR X Magnetometer,SDRXmag,8,Unsigned,,8_bit_mag,uT,Angular Veolcity around X Axis,472,59,29.5,14.75,SDR Radio,11,10,3
,SDR Y Magnetometer,SDRYmag,8,Unsigned,,8_bit_mag,uT,Angular Veolcity around Y Axis,480,60,30,15,SDR Radio,11,11,3
,SDR Z Magnetometer,SDRZmag,8,Unsigned,,8_bit_mag,uT,Angular Veolcity around Y Axis,488,61,30.5,15.25,SDR Radio,11,12,3
,pad,pad30,16,Unsigned,,0,-,Pad,496,62,31,15.5,,0,0,0
END,,,,,,,,Totals:,512,64,32,16,,,,
,,,,,,,,,,,,,,,,
//,"commonPayload2 is common to realtime,  hi/low, and WOD,  but it is not compared for hi/low.  It is fetched fresh.",,,,,,,,,,,,,,,
"Structure: commonRtWodPayload_t,file:common2Downlink.h",,,,,,,,,,,,,,,,
,Deploy Sense via CAN,DeploySenseCan,8,Unsigned,DeployableStatus_t,16,-,TBD,512,64,32,16,Spacecraft Status,3,4,0
,Deploy Sense via I2c,DeploySenseI2c,8,Unsigned,DeployableStatus_t,16,-,TBD,520,65,32.5,16.25,Spacecraft Status,3,5,0
ifdef LEGACY_IHU,,,,de,,,,,,,,,,,,
,Primary Active,PrimaryRTActive,1,,,21,-,The Primary MCU on the RTIHU is in control of the RTIHU,528,66,33,16.5,RT-IHU,7,3,0
,Auto Safe Allowed,AutoSafeAllowed,1,Unsigned,,21,-,Autosafe Allowed,529,66.125,33.0625,16.53125,Spacecraft Status,3,1,0
,Auto Safe,AutoSafeModeActive,1,Unsigned,,21,-,Autosafe Mode Active,530,66.25,33.125,16.5625,Spacecraft Status,3,2,0
,I2c CSS,I2CfailureSunSense,1,Unsigned,,17,-,Coarse Sun Sensor I2c failure,531,66.375,33.1875,16.59375,Sun Sensors,8,9,0
,I2c Solar,I2CfailureSolarV,1,Unsigned,,17,-,Solar Voltage I2c failure,532,66.5,33.25,16.625,Solar Panels,6,9,0
,Transponder Enabled,transponderEnabled,1,Unsigned,,44,-,,533,66.625,33.3125,16.65625,Legacy IHU,2,2,0
,I2cICR,I2CfailureICR,1,Unsigned,,17,-,Antenna is not communicating over bus 2,534,66.75,33.375,16.6875,Command Receivers,4,5,0
,I2c Deploy,I2CFailureDeploy,1,Unsigned,,17,-,Antenna is not communicating over bus 1,535,66.875,33.4375,16.71875,Spacecraft Status,3,6,0
endif,,,,,,,,,536,,,,,,,
ifdef RTIHU,,,,,,,,,,,,,,,,
,I2c Deploy,I2CFailureDeploy,1,Unsigned,,17,-,Antenna is not communicating over bus 1,528,66,33,16.5,NONE,0,0,0
,I2cICR,I2CfailureICR,1,Unsigned,,17,-,Antenna is not communicating over bus 2,529,66.125,33.0625,16.53125,NONE,0,0,0
,Transponder,transponderEnabled,1,Unsigned,,44,-,RF I2C Bus failure indicator,530,66.25,33.125,16.5625,NONE,0,0,0
,I2c Solar,I2CfailureSolarV,1,Unsigned,,17,-,Solar Voltage I2c failure,531,66.375,33.1875,16.59375,NONE,0,0,0
,I2c CSS,I2CfailureSunSense,1,Unsigned,,17,-,Coarse Sun Sensor I2c failure,532,66.5,33.25,16.625,NONE,0,0,0
,Auto Safe,AutoSafeModeActive,1,Unsigned,,21,-,Autosafe Mode Active,533,66.625,33.3125,16.65625,NONE,0,0,0
,Auto Safe Allowed,AutoSafeAllowed,1,Unsigned,,21,-,Autosafe Allowed,534,66.75,33.375,16.6875,NONE,0,0,0
,Primary RTIHU,PrimaryRTActive,1,,,21,-,The Primary MCU on the RTIHU is in control of the RTIHU,535,66.875,33.4375,16.71875,NONE,0,0,0
endif,,,,,,0,-,,,,,,,,,
,Min/Max Resets,TLMresets,8,Unsigned,,1,-,Number of times command stations reset stored telemetry,536,67,33.5,16.75,Min Max,10,1,0
,WOD Stored,wodSize,8,Unsigned,,36,-,Number of WOD data payloads kept for each of Science and Housekeeping,544,68,34,17,Spacecraft Status,3,3,0
,Diagnostic,swCmds,32,uint8_t,uint8_t,35,-,ICR Diagnostic information,552,69,34.5,17.25,Command Receivers,4,6,0
,HW Cmd Cnt ICR,hwCmdCnt,8,uint8_t,,1,-,Number of hardware commands since last reset,584,73,36.5,18.25,Command Receivers,4,7,0
,SW Cmd Cnt ICR,swCmdCntICR,8,uint8_t,,34,-,Number of software commands since last reset,592,74,37,18.5,Command Receivers,4,8,0
,SW Cmd Cnt DCT,swCmdCntDCT,8,uint8_t,,34,-,Number of software commands since last reset,600,75,37.5,18.75,Command Receivers,4,9,0
,Primary DCT Status,DCT1Status,8,uint8_t,,1,-,TBD,608,76,38,19,DCT,12,8,0
,Secndry DCT Status,DCT2Status,8,uint8_t,,1,-,TBD,616,77,38.5,19.25,DCT,12,9,0
,LIHU MRAM Status,LMRAMstatus,8,uint8_t,,1,-,TBD,624,78,39,19.5,Legacy IHU,2,4,0
,Primary MRAM Status,PrimMRAMstatus,8,uint8_t,,1,-,Status of the primary MRAM,632,79,39.5,19.75,RT-IHU,7,4,0
,Secndry MRAM Status,SecndMRAMstatus,8,uint8_t,,1,-,Status of the secondary MRAM,640,80,40,20,RT-IHU,7,5,0
,Modulator Reg 0,ModuLO,8,uint8_t,,1,-,Modulator Register 0 - Local Oscillator,648,81,40.5,20.25,Legacy Radio,1,6,0
,Modulator Reg 1,ModuGain,8,uint8_t,,1,-,Modulator Register 1 - Gain,656,82,41,20.5,Legacy Radio,1,8,0
,Modulator Reg 5,ModuPhaseOff,8,uint8_t,,1,-,Modulator Register 5 - Phase Offset,664,83,41.5,20.75,Legacy Radio,1,9,0
,Modulator Reg 8,ModuMode,8,uint8_t,,1,-,Modulator Register 8 - Mode,672,84,42,21,Legacy Radio,1,10,0
,CIU 1 Reset Cnt,CIUResetCnt1,8,uint8_t,,1,-,Power Reset Count for CIU Bus 1,680,85,42.5,21.25,CIU,9,5,0
,CIU 2 Reset Cnt,CIUResetCnt2,8,uint8_t,,1,-,Power Reset Count for CIU Bus 2,688,86,43,21.5,CIU,9,6,0
,DCT1  Reset Cnt,DCT1PwrCnt,8,uint8_t,,1,-,Power Reset Count for DCT1,696,87,43.5,21.75,DCT,12,10,0
,DCT2  Reset Cnt,DCT2PwrCnt,8,uint8_t,,1,-,Power Reset Count for DCT2,704,88,44,22,DCT,12,11,0
,PA1  Reset Cnt,PA1PwrCnt,8,uint8_t,,1,-,Power Reset Count for PA1,712,89,44.5,22.25,DCT,12,12,0
,PA2  Reset Cnt,PA2PwrCnt,8,uint8_t,,1,-,Power Reset Count for PA2,720,90,45,22.5,DCT,12,13,0
ifdef RTIHU,,,,,,,,,,,,,,,,
,ICR Carrier Valid,ICRCarrierValid,1,uint8_t,,1,-,ICR Receiving Carrier,728,91,45.5,22.75,Command Receivers,4,10,0
,ICR Receiver On,ICRRxOn,1,uint8_t,,1,-,ICR RSSI Valid,729,91.125,45.5625,22.78125,Command Receivers,4,2,0
,In Eclipse,inEclipse,1,uint8_t,,21,-,,730,91.25,45.625,22.8125,Spacecraft Status,3,8,0
,Eclipse Action,eclipseAction,3,uint8_t,,GOLF_ECLIPSE_ACTION,-,,731,91.375,45.6875,22.84375,Spacecraft Status,3,7,0
,Modulator Valid,moduValid,1,uint8_t,,21,,,734,91.75,45.875,22.9375,NONE,0,0,0
,LIHU In Control,LIHUControl,1,uint8_t,,21,,,735,91.875,45.9375,22.96875,NONE,0,0,0
endif,,,,,,,,,,,,,,,,
ifdef LEGACY_IHU,,,,,,,,,,,,,,,,
,LIHU In Control,LIHUControl,1,uint8_t,,21,-,The LIUH is in control of the spacecraft,728,91,,22.75,Legacy IHU,2,3,0
,Modulator Valid,moduValid,1,uint8_t,,21,-,If not valid then the displayed values are from the last valid read,729,91.125,45.5625,22.78125,Legacy Radio,1,11,0
,Eclipse Action,eclipseAction,3,uint8_t,,GOLF_ECLIPSE_ACTION,-,,730,91.25,45.625,22.8125,Spacecraft Status,3,7,0
,In Eclipse,inEclipse,1,uint8_t,,21,-,,733,91.625,45.8125,22.90625,Spacecraft Status,3,8,0
,ICR Receiver On,ICRRxOn,1,uint8_t,,1,-,ICR RSSI Valid,734,91.75,45.875,22.9375,Command Receivers,4,2,0
,ICR Carrier Valid,ICRCarrierValid,1,uint8_t,,1,-,ICR Receiving Carrier,735,91.875,45.9375,22.96875,Command Receivers,4,10,0
endif,,,,,,,,,,,,,,,,
,LIHU Reset Cnt,LIHUResets,8,uint8_t,,1,,LIHU Rest Count,736,92,46,23,Legacy IHU,2,5,0
,Primary Reset Cnt,RTIHU1Resets,8,uint8_t,,1,,Primary RT-IHU Reset Count,744,93,46.5,23.25,RT-IHU,7,6,0
,Secndry Reset Cnt,RTIHU2Resets,8,uint8_t,,1,,Secondary RT-IHU Reset Count,752,94,47,23.5,RT-IHU,7,7,0
ifdef RTIHU,,,,,,,,,,,,,,,,
,RF Matrix Reset Cnt,CIUResetCnt3,6,uint8_t,,1, ,,760,95,47.5,23.75,CIU,9,7,0
,Half Duplex Mode,halfDupMode,1,uint8_t,,status_on_off,,Rx and Tx On Same DCT,766,95.75,47.875,23.9375,DCT,12,7,0
,VUC Disabled,vucDisabled,1,uint8_t,,21,,VUC Disabled,767,95.875,47.9375,23.96875,Spacecraft Status,3,9,0
#endif,,,,,,,,,, , , ,,,,
ifdef LEGACY_IHU,,,,,,,,,, , , ,,,,
,VUC Disabled,vucDisabled,1,uint8_t,,21,,VUC Disabled,760,95,47.5,23.75,Spacecraft Status,3,9,0
,Half Duplex Mode,halfDupMode,1,uint8_t,,status_on_off,,Rx and Tx On Same DCT,761,95.125,47.5625,23.78125,DCT,12,7,0
,RF Matrix Reset Cnt,CIUResetCnt3,6,uint8_t,,1,-,RF Matrix Power Cycle Cnt,762,95.25,47.625,23.8125,CIU,9,7,0
#endif,,,,,,,,,,,,,,,,
END,,,,,,,,Total Length,768,96,48,24,,,,
,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,
"Structure: realtimeSpecific_t, file:realtimeDownlink.h",,,,,,,,,,,,,,,,
,Pad,Pad5,32,uint8_t,,0,-,Pad,672,84,42,21,NONE,0,0,0
END,,,,,,,,Total Length,704,88,44,22,,,,
,,,,,,,,,,,,,,,,
"Structure: maxSpecific_t, file: maxDownlink.h",,,,,,,,,,,,,,,,
,Max Last Chg Secs,maxTimestampUptime,32,unsigned,,1,s,Timestamp Resets,512,64,32,16,NONE,0,0,0
,Max Last Change,maxTimestampEpoch,16,Unsigned,,TIMESTAMP maxTimestampEpoch maxTimestampUptime,,Timestamp uptime,544,68,34,17,Min Max,10,3,0
,Max CRC Errors,maxCRCerror,8,unsigned,,1,-,CRC Error for the Max Payload,560,70,35,17.5,Min Max,10,5,0
,Filler,pad0,8,,,0,-,Make same length as WOD,568,71,35.5,17.75,NONE,0,0,0
END,,,,,,,,Total Length,576,72,36,18,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Structure: minSpecific_t, file: minDownlink.h",,,,,,,,,,,,,,,,
,Min Last Chg Secs,minTimestampUptime,32,,,1,s,Timestamp Resets,512,64,32,16,NONE,0,0,0
,Min Last Change,minTimestampEpoch,16,Unsigned,,TIMESTAMP minTimestampEpoch minTimestampUptime,,Timestamp uptime,544,68,34,17,Min Max,10,4,0
,Last Reset Time,minmaxResetEpoch,16,,,TIMESTAMP minmaxResetEpoch minmaxResetSecs,,MinMax Reset Epoch,560,70,35,17.5,Min Max,10,2,0
,Min Max Reset Seconds,minmaxResetSecs,32,,,1,,MinMax Reset Secs,576,72,36,18,NONE,0,0,0
,Min CRC Errors,minCRCerror,8,unsigned,,1,-,CRC Error for the min payload,608,76,38,19,Min Max,10,6,0
,Filler,Pad192,24,uint8_t,,0,-,,616,77,38.5,19.25,NONE,0,0,0
END,,,,,,,,Total Length,640,80,40,20,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,
"Structure:wodSpecific_t,file:wodSpecificDownlink.h",,,,,,,,,,,,,,,,
,Uptime,WODTimestampUptime,32,Unsigned,,1,s,Time Whole Orbit Data was collected,768,96,48,24,WOD,13,1,0
,Data Capture Time,WODTimestampReset,16,Unsigned,,TIMESTAMP WODTimestampReset WODTimestampUptime,-,Time Whole Orbit Data was collected,800,100,50,25,WOD,13,2,0
,CRC Error,WodCRCError,8,Unsigned,,STATUS_BIT,-,CRC Error for the WOD Payload,816,102,51,25.5,WOD,13,3,0
ifdef RTIHU,,,,,,,-,,,,,,,,,
,Pad1,pad202,5,Unsigned,,0,-,Pad,824,103,51.5,25.75,NONE,0,0,0
,Science Mode,inScienceMode,1,,,0,-,Are we in science mode?,829,103.625,51.8125,25.90625,NONE,0,0,0
,Health Mode,inHealthMode,1,Unsigned,,0,-,Are we in health mode?,830,103.75,51.875,25.9375,NONE,0,0,0
,Safe Mode,inSafeMode,1,Unsigned,,0,-,Are we in safe mode?,831,103.875,51.9375,25.96875,NONE,0,0,0
endif,,,,,,,-,,,,,,,,,
ifdef LEGACY_IHU,,,,,,,-,,,,,,,,,
,Safe Mode,inSafeMode,1,Unsigned,,21,-,Are we in safe mode?,824,103,51.5,25.75,Spacecraft Status,3,10,0
,Health Mode,inHealthMode,1,Unsigned,,21,-,Are we in health mode?,825,103.125,51.5625,25.78125,Spacecraft Status,3,11,0
,Science Mode,inScienceMode,1,Unsigned,,21,-,Are we in science mode?,826,103.25,51.625,25.8125,Spacecraft Status,3,12,0
,Pad10,pad211,5,Unsigned,,0,-,Pad,827,103.375,51.6875,25.84375,NONE,0,0,0
endif,,,,,,,,,,,,,,,,
END,,,,,,,,Totals:,832,104,52,26,,,,
,,,,,,,,,,,,,,,,
"Structure:radiation_t, file:radDownlink.h",,,,,,,,,,,,,,,,
//,Field Name,Code Name,Size (Bits),Type,C Type,Conversion,Label,Description,Bit Offset,Byte Offset,Short Offset,Long offset,Module,Module_num,Module_Line,Line_Type
,Data,data,464,Unsigned,uint8_t,0,-,Opaque data from radiation experiment,0,0,0,0,NONE,0,0,0
,Exp1 Board Number,exp1BoardNum,8,Unsigned,,1,-,Experiment Board Active,464,58,29,14.5,VUC,1,1,0
,NONE,pad219,8,,,0,-,TBD,472,,,,NONE,0,0,0
END,,,,,,,,Totals:,480,60,30,15,,,,
,,,,,,,,,,,,,,,,
"Structure:ragnarok_t, file:ragDownlink.h",,,,,,,,,,,,,,,,
//,Field Name,Code Name,Size (Bits),Type,C Type,Conversion,Label,Description,Bit Offset,Byte Offset,Short Offset,Long offset,Module,Module_num,Module_Line,Line_Type
,ADAC Data,data,672,Unsigned,uint8_t,0,-,Opaque data from ADAC experiment,0,0,0,0,NONE,0,0,0
END,,,,,,,,Totals:,672,84,42,21,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Structure:radWodSpecific_t, file:radWodSpecificDownlink.h",,,,,,,,,,,,,,,,
//,Field Name,Code Name,Size (Bits),Type,C Type,Conversion,Label,Description,Bit Offset,Byte Offset,Short Offset,Long offset,Module,Module_num,Module_Line,Line_Type
,Uptime,WODTimestampUptime,32,Unsigned,,1,sec,Time Whole Orbit Data was collected,480,60,30,15,WOD,13,2,0
,Data Capture Time,WODTimestampReset,16,Unsigned,uint16_t,TIMESTAMP WODTimestampReset WODTimestampUptime,-,Time Whole Orbit Data was collected,512,64,32,16,WOD,13,1,0
